400.;2.;0.;1.
409.;4.;0.;1.
392.;4.;0.;1.
395.;3.5;0.;1.
594.5;5.;0.;1.
595.;5.;0.;1.
394.;3.2;0.;1.
608.;5.;0.;0.
379.;1.;0.;0.
300.;2.5;0.;1.
503.;4.;0.;1.
52.;137.;0.;2.
52.;137.;0.;2.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
299.975181;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
420.;3.3;0.;1.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
503.;4.;0.;1.
396.;2.7;0.;1.
65.;22.;0.;2.
503.;4.;0.;1.
0.;0.;0.;0.
510.;4.;0.;1.
0.;0.;0.;0.
0.;0.;0.;0.
85.;22.;0.;2.
0.;0.;0.;0.
0.;0.;0.;0.
0.;0.;0.;0.
